Rounds,Execution_Time,Communication_Bits,Latency,Throughput
10,0.007298707962036133,0,0.00012164513270060221,8220.633064384412
20,0.013699531555175781,0,0.00011416276295979817,8759.42359902541
30,0.019225120544433594,0,0.0001068062252468533,9362.750136415496
40,45.134318113327026,70961896,0.18805965880552927,5.3174615244521455
50,231.51413702964783,305805296,0.7717137900988261,1.2958171965178171
60,439.0020077228546,499711040,1.219450021452374,0.8200418077068814
70,649.4001290798187,715718008,1.546190783523378,0.646750718382406
80,862.795655965805,923272896,1.7974909499287606,0.5563310346789967
90,1070.2037823200226,1111552800,1.98185885614819,0.5045768001579759
100,1283.6021258831024,1277020240,2.1393368764718375,0.467434563951978
