Round,Execution_Time,Communication_Bits,Latency,Throughput
1,10.043384075164795,21831040,10.043384075164795,0.09956803329594778
2,24.087536573410034,47668256,12.043768286705017,0.08303049147033897
3,38.13835072517395,69595832,12.712783575057983,0.07866097885611484
4,52.17751669883728,92045024,13.04437917470932,0.07666137166104603
5,66.23319697380066,114932184,13.246639394760132,0.07549084490029691
6,82.28712105751038,140616264,13.71452017625173,0.07291542009115384
7,96.33637714385986,163017320,13.76233959197998,0.0726620639838557
8,110.39144611358643,185460640,13.798930764198303,0.07246938310572054
9,124.42897439002991,208162152,13.825441598892212,0.07233042017841418
10,138.48635077476501,230671800,13.848635077476501,0.07220928231594503
11,152.52849507331848,254467968,13.866226824847134,0.07211767214193283
12,166.57618713378906,276964016,13.881348927815756,0.07203910838925587
13,180.64333152770996,299787616,13.89564088674692,0.07196501465101607
14,196.6999955177307,323130936,14.049999679837908,0.07117437884607387
15,210.7591872215271,347956232,14.05061248143514,0.0711712746559116
16,224.80650234222412,371614736,14.050406396389008,0.07117231856418066
17,238.84861040115356,394308296,14.049918258891386,0.07117479131006028
18,252.9078025817871,418836248,14.050433476765951,0.07117218138882463
19,264.9576015472412,443335680,13.94513692353901,0.07170958632267191
20,279.00710368156433,465000992,13.950355184078216,0.07168276268272492
21,291.04273223876953,487804640,13.859177725655693,0.07215435286242344
22,305.10935163497925,510358392,13.868606892499058,0.07210529563289142
23,319.1565217971802,533959536,13.876370512920877,0.07206495380538143
24,333.2172842025757,558728312,13.884053508440653,0.07202507534215863
25,347.26997566223145,581434712,13.890799026489258,0.07199009920833464
26,361.32036089897156,603774384,13.896936957652752,0.07195830297332687
27,373.3667793273926,626229376,13.828399234347874,0.07231495005699107
28,387.4187512397766,650739360,13.836383972849164,0.07227321834680782
29,399.46341276168823,673167424,13.774600440058215,0.0725973870786029
30,413.52190494537354,695854400,13.784063498179117,0.07254754740009
31,427.5563471317291,718284592,13.792140230055779,0.07250506326935423
32,443.6129434108734,743851392,13.862904481589794,0.07213495565290949
33,457.6622145175934,766827824,13.868551955078587,0.07210558126321223
34,469.7166609764099,789394808,13.81519591107088,0.07238406219043515
35,483.7679841518402,811993552,13.821942404338293,0.07234873151302744
36,495.81252694129944,834570848,13.772570192813873,0.07260808883165257
37,509.86135363578796,860261192,13.780036584751025,0.07256874782949407
38,521.8960101604462,882535720,13.734105530538057,0.07281143994244693
39,535.9510807991028,905463616,13.7423354051052,0.07276783534394785
40,548.0161521434784,928270064,13.70040380358696,0.07299054935433259
41,564.0765469074249,953782248,13.757964558717681,0.07268517052301562
42,576.1189908981323,976013840,13.717118830907912,0.07290160654923857
43,588.1781198978424,998529328,13.6785609278568,0.07310710573094498
44,602.2180948257446,1019865184,13.686774882403286,0.07306323137422774
45,614.2698686122894,1043152560,13.650441524717543,0.07325770365663628
46,628.3221998214722,1066953336,13.659178256988525,0.07321084630317085
47,640.361166715622,1090049592,13.624705674800467,0.07339608090393812
48,654.4179470539093,1112841376,13.633707230289778,0.07334762167830015
49,668.4658668041229,1136479440,13.642160547022916,0.07330217208286899
50,680.5156512260437,1159557728,13.610313024520874,0.07347369588034902
51,694.6299240589142,1176821016,13.620194589390474,0.07342039010066387
52,706.6816370487213,1192326896,13.590031481706179,0.07358334683375241
53,720.7314283847809,1207947024,13.598706195939261,0.07353640747813289
54,732.774796962738,1223276616,13.569903647458112,0.07369249082231458
